,ID-ORDER,datetime,Q1a_lang1,Q2-1_Meetings_Freq,Q2-1_Meetings_Import,Q2-1_Meetings_Eng,Q2-1_Meetings_LES, Q2-2_PreparedStats_Freq,Q2-2_PreparedStats_Import,Q2-2_PreparedStats_Eng,Q2-2_PreparedStats_LES,Q2-3_PublicInter_Freq,Q2-3_PublicInter_Import,Q2-3_PublicInter_Eng,Q2-3_PublicInter_LES,Q2-4_SocialConv_Freq,Q2-4_SocialCon_Import,Q2-4_SocialCon_Eng,Q2-4_SocialCon_LES,Q2-5_CommPhone_Freq,Q2-5_CommPhone_Import,Q2-5_CommPhone_Eng,Q2-5_CommPhone_LES,Q2-6_ElicitGather_Freq,Q2-6_ElicitGather_Import,Q2-6_ElicitGather_Eng,Q2-6_ElicitGather_LES,Q2-7_SocialMedia_Freq,Q2-7_SocialMedia_Import,Q2-7_SocialMedia_Eng,Q2-7_SocialMedia_LES,Q2-8_EmailText_Freq,Q2-8_EmailText_Import,Q2-8_EmailText_Eng,Q2-8_EmailText_LES,Q2-9_MonitPubSpoken_Freq,Q2-9_MonitPubSpoken_Import,Q2-9_MonitPubSpoken_Eng,Q2-9_MonitPubSpoken_LES,Q2-10_MonitBroadcast_Freq,Q2-10_MonitBroadcast_Import,Q2-10_MonitBroadcast_Eng,Q2-10_MonitBroadcast_LES,Q2-11_GiveInstruct_Freq,Q2-11_GiveInstruct_Import,Q2-11_GiveInstruct_Eng,Q2-11_GiveInstruct_LES,Q2-12_MakeRequest_Freq,Q2-12_MakeRequest_Import,Q2-12_MakeRequest_Eng,Q2-12_MakeRequest_LES,Q2-13_Negotiate_Freq,Q2-13_Negotiate_Import,Q2-13_Negotiate_Eng,Q2-13_Negotiate_LES,Q2-14_Services_Freq,Q2-14_Services_Import,Q2-14_Services_Eng,Q2-14_Services_LES,Q2-15_SchedOrganize_Freq,Q2-15_SchedOrganize_Import,Q2-15_SchedOrganize_Eng,Q2-15_SchedOrganize_LES,Q2-16_Travel_Freq,Q2-16_Travel_Import,Q2-16_Travel_Eng,Q2-16_Travel_LES,Q2-17_WriteCorresp_Freq,Q2-17_WriteCorresp_Import,Q2-17_WriteCorresp_Eng,Q2-17_WriteCorresp_LES,Q2-18_SpeakExtempor_Freq,Q2-18_SpeakExtempor_Import,Q2-18_SpeakExtempor_Eng,Q2-18_SpeakExtempor_LES,Q2-19_ReadJobDocs_Freq,Q2-19_ReadJobDocs_Import,Q2-19_ReadJobDocs_Eng,Q2-19_ReadJobDocs_LES,Q2-20_Translate_Freq,Q2-20_Translate_Import,Q2-20_Translate_Eng,Q2-20_Translate_LES,Q2-21_Interpret_Freq,Q2-21_Interpret_Import,Q2-21_Interpret_Eng,Q2-21_Interpret_LES,Q2-22_MonitSpokenAccu_Freq,Q2-22_MonitSpokenAccu_Import,Q2-22_MonitSpokenAccu_Eng,Q2-22_MonitSpokenAccu_LES,Q2-23_ReviewEdit_Freq,Q2-23_ReviewEdit_Import,Q2-23_ReviewEdit_Eng,Q2-23_ReviewEdit_LES,Q2-24_Shop_Freq,Q2-24_Shop_Import,Q2-24_Shop_Eng,Q2-24_Shop_LES,Q2-25_OrderFood_Freq,Q2-25_OrderFood_Import,Q2-25_OrderFood_Eng,Q2-25_OrderFood_LES,Q2-26_Children_Freq,Q2-26_Children_Import,Q2-26_Children_Eng,Q2-26_Children_LES,Q2-27_Leisure_Freq,Q2-27_Leisure_Import,Q2-27_Leisure_Eng,Q2-27_Leisure_LES,Comments_Ratings,Translation_aids,Add_tasks,PostnRelabel,Bureau,Org Name,Country,Emp Grade,EmpGradeRank,Lang Cd,Emp Speak Proficiency 1,Speak Proficiency Plus,Emp Read Proficiency 1,Read Proficiency Plus,Postn Lang 1 Sp/Rd,Postn Lang 1 Sp,Postn Lang 1 Rd
149,NA00160,2017-08-29 01:23:00,Arabic,Every few months,Important,yes,yes,Every few months,Important,yes,,Never - Can't do in the language,Not important,,,Every few months,Important,yes,,Every few months,Slightly important,yes,yes,Daily,Very important,no,yes,Never - Can't do in the language,Not important,yes,yes,Never - Can't do in the language,Not important,yes,yes,Never - Can't do in the language,Not important,yes,yes,Never - Can't do in the language,Not important,yes,yes,Daily,Important,yes,yes,Monthly,Slightly important,yes,yes,Never - Can't do in the language,Not important,yes,no,Never - not applicable,Not applicable,,,Every few months,Important,yes,,Every few months,Important,,yes,Every few months,Important,,yes,Weekly,Important,yes,yes,Weekly,Important,yes,yes,Never - Can't do in the language,Important,,yes,Never - Can't do in the language,Important,yes,yes,Never - Can't do in the language,Important,yes,yes,Never - Can't do in the language,Important,yes,yes,Weekly,Important,,,Weekly,Important,yes,,Weekly,Important,yes,,Weekly,Important,yes,,"My use of Arabic has been mostly for consular interviews.  Most of the language and expressions I use I have learned since arriving, although it was useful to have the MSA background before coming here.  Anything requiring more complexity in language, I need the LES' help.",,Visa interviews.  My primary task.,Customer Service,NEA,RIYADH,SAUDI ARABIA,04,ENTRY,AD,2.0,,1.0,0.5,AD   2/1,,
150,NA00161,2017-08-29 01:11:00,Azerbaijani,Weekly,Very important,yes,,Monthly,Important,,,Weekly,Important,,,Daily,Important,,,Weekly,Not important,,,Weekly,Slightly important,yes,,Never - not applicable,Not applicable,,,Daily,Slightly important,,,Monthly,Important,,,Daily,Important,yes,yes,Daily,Very important,yes,,Daily,Very important,yes,,Every few months,Very important,yes,,Weekly,Slightly important,yes,,Every few months,Important,yes,,Monthly,Slightly important,,,Weekly,Important,yes,,Weekly,Important,,,Weekly,Slightly important,,yes,Every few months,Very important,,yes,Every few months,Slightly important,,,Never - not applicable,Not applicable,,,Monthly,Important,,,Weekly,Important,,,Weekly,Slightly important,,,Daily,Important,,,Weekly,Important,yes,,"I find the 'mostly' column almost impossible to gauge.  Each interaction is different - sometimes int eh target langauge, sometimes not.  I almost quit the survey over how inaccurate I feel my responses are / how distorted the answer is by forcing a 'mostly' response.  It isn't a one size fits all situation.",Confirming that I've read target language online story accurately.  Spell checking in the target language.,"Dealing with emergencies.  It doesn't fit your 'frequency' table, but dealing with a crisis - medical emergency of family member, crime event, traffic accident, etc. - can be stressful in the target language, as well as of utmost importance at the time.",Operations,EUR,BAKU,AZERBAIJAN,02,MID,AX,3.0,,3.0,0.5,AX,3,3
151,NA00162,2017-08-29 01:06:00,Arabic,Never - not applicable,,,,Monthly,Slightly important,,,Monthly,Important,,,Monthly,Important,,,Daily,Very important,,,Daily,Very important,,,Weekly,Slightly important,,,Daily,Very important,,,Monthly,Slightly important,,,Weekly,Slightly important,,,Daily,Very important,,,Daily,Very important,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Daily,Very important,,,Never - not applicable,,,,Daily,Very important,,,Daily,Very important,,,Never - not applicable,,,,Never - not applicable,,,,Daily,Very important,,,Never - not applicable,,,,Weekly,Very important,,,Weekly,Very important,,,Daily,Very important,,,Daily,Very important,,,,I had prior arabic before joining the department. I receievd a top up Arabic course which was only marginally useful as it focused on high level vocab and concepts that most people dont use in day to day life. However ALL of my colleagues who had no prior Arabic and just had FSI arabic find themselves woefully unprepared to manage their day to day lives and do their basic work duties using the language. ,,Customer Service,NEA,AMMAN,JORDAN,05,ENTRY,AD,3.0,,2.0,,AD,2,1
152,NA00163,2017-08-29 01:03:00,Arabic,Monthly,Important,yes,,Every few months,Slightly important,yes,yes,Monthly,Important,yes,,Weekly,Not important,yes,,Never - Can't do in the language,Not applicable,,,Daily,Very important,,no,Monthly,Slightly important,yes,,Weekly,Important,yes,yes,Monthly,Slightly important,yes,,Never - not applicable,Not applicable,,,Daily,Very important,yes,,Daily,Very important,yes,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Every few months,Slightly important,yes,,Never - not applicable,Not applicable,,,Every few months,Important,yes,,Monthly,Slightly important,,,Daily,Very important,,yes,Weekly,Very important,,yes,Every few months,Not important,,,Daily,Important,,,Never - Can't do in the language,Not important,,,Daily,Important,,,Daily,Important,,,Daily,Important,yes,,Weekly,Very important,yes,,,Sometimes use google translate to confirm my understanding of a certain text ,,Customer Service,NEA,CAIRO,EGYPT,03,MID,AD,2.0,0.5,1.0,,AD,2,2
153,NA00164,2017-08-29 01:02:00,Chinese (Mandarin),Every few months,Very important,,,Every few months,Very important,yes,,Monthly,Important,,,Daily,Slightly important,,,Weekly,Important,,,Daily,Very important,,,Daily,Not important,yes,,Daily,Not important,yes,,Daily,Very important,,,Weekly,Slightly important,yes,,Daily,Slightly important,,,Daily,Slightly important,,,Never - not applicable,,,,Never - not applicable,,,,Every few months,Slightly important,yes,,Daily,Slightly important,,,Never - not applicable,,,,Every few months,Slightly important,,,Daily,Very important,,,Every few months,Important,,,Monthly,Slightly important,,,Daily,Very important,,,Every few months,Slightly important,,,Daily,Important,,,Daily,Not important,,,Monthly,Slightly important,,,Daily,Not important,,,,I sat in on provincial government meetings and translated the quotes of the five year plan for the POL/ECON section and had to scan through pages of docs to identify and draw out the important passages for our summary. I also sometimes try to use Google translate during visa interviews if I don't understand the word the person said (with mixed success).,"I think for China people need to learn how to properly attend banquets- the toasting etiquette, when to stand, what to say in Chinese, how to say it, how to properly toast. Many people don't seem to ever learn that but it happens frequently in meetings over food. Also, social media in China has a lot of idioms, use of numbers to express a positive or negative meaning. That would be useful training especially for PAS people. In general, consular Chinese can improve on words having to do with occupations- consulting, property management, words associated with positions in company (owner, general manager, vice manager, etc.), and also college majors. Many consular officers who are new have a learning curve for that vocabulary. ",Customer Service,EAP,SHANGHAI,PEOPLES REP OF CHINA,04,ENTRY,CM,2.0,,1.0,0.5,CM,2,1
154,NA00165,2017-08-29 00:58:00,Amharic,Never - not applicable,Not applicable,no,no,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Daily,Very important,yes,yes,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,,,,Daily,,yes,,Daily,,yes,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,yes,,Never - not applicable,,yes,,Never - not applicable,,no,,Never - not applicable,,,,Never - not applicable,,,,Weekly,,yes,,Never - not applicable,,,,Daily,,yes,yes,Weekly,,yes,,,Visas applicants interviews,,Customer Service,AF,ADDIS ABABA,ETHIOPIA,04,ENTRY,AC,2.0,0.5,2.0,0.5,AC,2,2
155,NA00166,2017-08-29 00:56:00,Russian,Never - not applicable,Not applicable,,no,Monthly,Slightly important,,yes,Monthly,Slightly important,,yes,Weekly,Important,,yes,Every few months,Important,,yes,Daily,Very important,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Monthly,Slightly important,,yes,Weekly,Important,,yes,Daily,Very important,yes,,Daily,Very important,yes,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Every few months,Slightly important,,,Daily,Very important,,,Never - not applicable,Not applicable,,,Monthly,Important,,,Daily,Very important,,,Never - not applicable,Not applicable,,,Daily,Very important,,,Weekly,Very important,,,Never - not applicable,Not applicable,,,Daily,Important,,,Daily,Important,,,Weekly,Slightly important,,,Daily,Very important,,,,"If I have time, I will generally google translate a page after reading it or put a phrase into google translate after I've developed my own Russian phrasing to doublecheck that it is accurate.","Consular interactions: interviewing people quickly, understanding their responses, interacting with prison and hospital officials, etc.",Customer Service,EUR,YEKATERINBURG,RUSSIA,04,ENTRY,RU,2.0,,2.0,0.5,RU,2,2
156,NA00167,2017-08-29 00:55:00,Arabic,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Every few months,,,,Every few months,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Every few months,,,,Every few months,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Weekly,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Daily,,,,Weekly,,,,Every few months,,,,Weekly,,,,"The level required for meeting the requirements is not sufficient to do substantive interactions, especially written.  Dialect here is completely different from the langage learned at FSI.  I work  in consualr services and the stakes are too high to count on my limited verbal skills in complicated interviews.",I use this app onoly for some homework I do in my continuing language tutoring.,Visa and ACS interviews,Customer Service,NEA,JERUSALEM,JERUSALEM,04,ENTRY,AD,2.0,,1.0,0.5,AD,2,1
157,NA00168,2017-08-29 00:52:00,Portuguese,Never - not applicable,Not applicable,,,Every few months,Important,,,Every few months,Slightly important,,,Every few months,Slightly important,,,Every few months,Slightly important,,,Weekly,Very important,,,Never - not applicable,Not applicable,,,Weekly,Slightly important,,,Every few months,Important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customer Service,WHA,RIO DE JANEIRO,BRAZIL,05,ENTRY,PY,4.0,,3.0,,PY,3,3
158,NA00169,2017-08-29 00:51:00,Arabic,Daily,Very important,,,Never - not applicable,,,,Every few months,Slightly important,,,Every few months,Slightly important,,,Weekly,Very important,,,Daily,Very important,,yes,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - Can't do in the language,,,,Never - not applicable,,,,Weekly,Very important,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Monthly,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Daily,Very important,,,Daily,Very important,,,Never - not applicable,,,,Weekly,Not applicable,,,Never - not applicable,,,,Never - not applicable,,,,Monthly,,,,"As a consular chief, I am not expected to perform my duties in Arabic at any level. However, due to consular staff shortages, specifically a lack of vice consuls for extended periods, I speak Arabic daily in visa interviews. It would be disastrous if I had not tested at 2/1 and been using Arabic daily for the past six years. Post Dhahran is in a relatively rural area and our visa applicant pool is likely different from Embassy Riyadh and Consulate Jeddah.",Occasional translation of relatively obscure phrases that are not used routinely. ,,Customer Service,NEA,DHAHRAN,SAUDI ARABIA,02,MID,AD,2.0,,1.0,,AD,0,0
159,NA00170,2017-08-29 00:39:00,Russian,Weekly,Very important,yes,yes,Every few months,Important,yes,,Weekly,Slightly important,yes,,Monthly,Important,yes,yes,Weekly,Important,,,Monthly,Important,,,Daily,Very important,,yes,Daily,Important,yes,,Weekly,Important,,,Daily,Very important,,yes,Daily,Very important,yes,,Daily,Very important,yes,,Never - not applicable,,,,Weekly,Very important,yes,yes,Weekly,Very important,yes,yes,Weekly,Important,no,yes,Never - not applicable,,,,Weekly,Slightly important,yes,,Daily,Very important,yes,yes,Monthly,Important,,yes,Every few months,Important,,yes,Weekly,Very important,,yes,Daily,Very important,,yes,Daily,Important,,,Daily,Important,,,Weekly,Important,,,Weekly,Important,,,,"Drafting, reading, and reviewing",Skimming the news very quickly,Social Media,SCA,ASHGABAT          ,TURKMENISTAN,04,ENTRY,RU,3.0,,3.0,,RU,2,2
160,NA00171,2017-08-29 00:31:00,Armenian,Every few months,Slightly important,yes,yes,Never - not applicable,,,,Never - not applicable,,,,Every few months,Important,,yes,Never - not applicable,,,,Monthly,Important,,yes,Never - not applicable,,,,Never - not applicable,,,,Every few months,Important,,yes,Weekly,Very important,,yes,Daily,Very important,yes,yes,Daily,Very important,no,yes,Never - not applicable,,,,Weekly,Important,,yes,Daily,Important,,yes,Never - not applicable,,,,Daily,Very important,yes,no,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Weekly,Very important,,,Every few months,Slightly important,,,Never - not applicable,,,,Never - not applicable,,,,,,,Security,EUR,YEREVAN,ARMENIA,03,MID,RE,2.0,,2.0,,RU,2,2
161,NA00172,2017-08-29 00:31:00,Russian,Never - Can't do in the language,Not important,yes,yes,Never - not applicable,Not applicable,yes,yes,Never - not applicable,Not applicable,,,Every few months,Slightly important,,yes,Never - Can't do in the language,Important,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - Can't do in the language,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,yes,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Daily,Very important,yes,,Weekly,Important,yes,,Every few months,,,yes,Never - Can't do in the language,,,,"In my position as a Management Officer, much of the training at FSI was not directly applicable for my position.  The reality is that I would prefer to use a native speaking Russian LE staff in any discussion/negotiations with host nation counterparts, rather than trying to muddle through in my limited Russian.  ",,No,Manager,SCA,BISHKEK        ,KYRGYZSTAN,01,SENIOR,RU,2.0,,2.0,,RU,3,3
162,NA00173,2017-08-29 00:07:00,Indonesian,Weekly,Very important,yes,,Never - not applicable,Not applicable,,,Every few months,Important,yes,,Monthly,Important,yes,,Monthly,Important,,,Daily,Very important,,,Daily,Important,,,Daily,Very important,yes,,Every few months,Important,yes,,Daily,Very important,,,Daily,Very important,yes,,Daily,Very important,yes,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Monthly,Very important,yes,yes,Monthly,Very important,,,,,,,Monthly,Important,yes,,Every few months,Very important,,,Monthly,Very important,,,Never - not applicable,Not applicable,,yes,Every few months,Important,,,Daily,Very important,yes,,Weekly,Important,,,Weekly,Important,,,Daily,Very important,,,Weekly,Very important,,,"Reading knowledge of Indonesian is essential to do this job. Spoken Indonesian is needed for travel outside Jakarta and tourist resorts. Even within Jakarta, Indonesian is useful for navigating the city. Occasionally the Indonesian government does deliver high-level presentations and economic talks in Indonesian. The Desk and Interagency often rely on our individual translations/interpretations if Indonesian government regulations and laws, as English translations are sometimes not available for weeks or months after a new law is passed. ","Occasionally I use google translate to figure out a certain word here or there, but cannot rely upon it. ",,Operations,EAP,JAKARTA,INDONESIA,04,ENTRY,JN,2.0,0.5,2.0,0.5,JN,2,2
163,NA00174,2017-08-28 23:32:00,Burmese,Daily,Very important,,,Every few months,Important,yes,yes,Never - not applicable,Not important,,,Never - Can't do in the language,Not important,,,Never - Can't do in the language,Not important,,,Daily,Very important,yes,,Daily,Very important,yes,yes,Daily,Important,yes,yes,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Daily,Very important,yes,,Daily,Very important,yes,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - Can't do in the language,Slightly important,,,Never - Can't do in the language,Slightly important,,,Never - Can't do in the language,Slightly important,,,Never - Can't do in the language,Slightly important,,,Never - not applicable,Not applicable,,,Daily,Very important,,,Never - not applicable,Not applicable,,,Daily,Very important,,,Daily,Important,,,Daily,Important,,,Monthly,Important,,,,"There are no translation aids for Burmese. State should fund a grant for someone or some organization to do this. All of the dictionaries are in the literary (versus verbal) form, and they are all written from the perspective of a native Burmese speaker. And, since most of us only needed a verbal score, spending tons of time on literary learning is no trelevant. ",,Customer Service,EAP,RANGOON,BURMA,04,ENTRY,BY,2.0,0.5,1.0,0.5,BY,2,0
164,NA00175,2017-08-28 23:25:00,Burmese,Weekly,Very important,,yes,Never - Can't do in the language,Slightly important,,yes,Never - not applicable,,,,Daily,Very important,,,Weekly,Slightly important,,,Weekly,Very important,,yes,Daily,Slightly important,,yes,Never - not applicable,,,,Weekly,,,yes,Weekly,Slightly important,yes,,Weekly,Slightly important,yes,,Weekly,,yes,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Weekly,Important,,yes,Never - not applicable,,yes,,Weekly,Very important,,yes,Monthly,Slightly important,yes,yes,Never - Can't do in the language,,,yes,Never - Can't do in the language,,,yes,Daily,Very important,,yes,Never - Can't do in the language,,,yes,Weekly,Slightly important,,,Weekly,Slightly important,,,Weekly,Slightly important,,,Weekly,Important,,,,,,Operations,EAP,RANGOON,BURMA,04,ENTRY,BY,3.0,,3.0,,BY,3,2
165,NA00176,2017-08-28 22:50:00,Russian,Every few months,Important,,yes,Never - not applicable,Not applicable,,,Every few months,Important,,,Every few months,Important,,,Monthly,Slightly important,,,Daily,Very important,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Monthly,Important,,,Daily,Slightly important,,,Daily,Very important,yes,,Daily,Very important,yes,,Every few months,Very important,,yes,Never - not applicable,Not applicable,,,Monthly,Slightly important,yes,yes,Daily,Important,,,Weekly,Very important,yes,yes,Weekly,Very important,yes,yes,Daily,Very important,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Daily,Very important,,,Weekly,Important,,,Weekly,Very important,,,Daily,Very important,,,Weekly,Very important,,,Daily,Very important,,,,,,Customer Service,SCA,ASTANA        ,KAZAKHSTAN,02,MID,RU,3.0,,3.0,,RU,3,3
166,NA00177,2017-08-28 22:49:00,Japanese,Weekly,Very important,yes,,Monthly,Important,,yes,Monthly,Important,yes,,Weekly,Slightly important,,,Weekly,Important,,,Daily,Very important,,,Weekly,Important,,yes,Daily,Very important,yes,,Monthly,Important,,,Every few months,Slightly important,,,Daily,Very important,yes,,Daily,Very important,yes,,Every few months,Very important,yes,,Weekly,Important,,yes,Weekly,Important,,yes,Daily,Very important,,,Daily,Very important,yes,,Weekly,Important,yes,,Every few months,Slightly important,,yes,Never - Can't do in the language,Slightly important,,yes,Never - Can't do in the language,Important,,yes,Weekly,Important,,,Never - Can't do in the language,Important,,yes,Daily,Important,,,Daily,Important,,,Daily,Important,,,Daily,Important,,,,,,Customer Service,EAP,TOKYO,JAPAN,01,SENIOR,JA,2.0,,1.0,0.5,JA,3,3
167,NA00178,2017-08-28 22:46:00,Chinese (Mandarin),Never - Can't do in the language,Slightly important,,yes,Never - not applicable,Not applicable,,,Every few months,Important,,yes,Daily,Important,,yes,Never - Can't do in the language,Important,,yes,Never - not applicable,Not applicable,,,Never - Can't do in the language,Slightly important,,yes,Never - Can't do in the language,Slightly important,yes,yes,Never - Can't do in the language,Not important,,yes,Never - not applicable,Not applicable,,,Daily,Very important,,yes,Daily,Very important,,yes,Never - Can't do in the language,Important,,,Daily,Very important,yes,yes,Every few months,Important,,yes,Daily,Very important,,,Never - Can't do in the language,Not applicable,,,Never - Can't do in the language,Important,,,Never - Can't do in the language,Not applicable,,,Never - Can't do in the language,Not applicable,,,Never - Can't do in the language,Not important,,,Never - Can't do in the language,Important,,,Never - Can't do in the language,Important,,,Weekly,Important,,,Daily,Important,,,Weekly,Very important,,,Weekly,Not important,,,"Even after testing at the required 2/1 in Mandarin Chinese it is still not sufficient to have any conversation beyond basic introduction with locals. The FSI course did not provide and job-related vocabularly or conversation. The course was likely could for specific jobs in Consular or POL/ECON, but it was greatly lacking for anyone interacting with local citizens that aren't trained in English.","Instruction, training, counseling, contracting.",,Manager,EAP,SHENYANG,PEOPLES REP OF CHINA,04,ENTRY,CM,2.0,,1.0,0.5,CM,2,1
168,NA00179,2017-08-28 22:16:00,vietnamese,Daily,Very important,,yes,Daily,Very important,,yes,Weekly,Very important,yes,,Weekly,Very important,yes,,Never - Can't do in the language,Very important,,,Daily,Very important,,yes,Never - Can't do in the language,Very important,,,Daily,Very important,yes,,Daily,Very important,,yes,Never - not applicable,,,,Daily,Very important,yes,,Daily,Very important,yes,,Daily,Very important,,yes,Daily,Very important,yes,,Daily,Very important,yes,,Never - Can't do in the language,Important,,,Daily,Very important,yes,,Daily,Very important,,yes,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Never - Can't do in the language,,,,Daily,Important,yes,,Daily,Very important,yes,,Daily,Important,yes,,Weekly,Important,yes,,"The Vietnamese language is recognized as a very difficult language to teach.  Unfortunately, the program director does not actively monitor the success of students or help to ensure a solid curriculum that prepares students for their assignments overseas.",Google translate.,,Operations,EAP,HANOI,VIETNAM,03,MID,VS,2.0,0.5,2.0,0.5,VS,3,3
169,NA00180,2017-08-28 22:13:00,Indonesian,Daily,Very important,,yes,Weekly,Very important,,yes,Weekly,Important,,yes,Daily,Important,,,Weekly,Slightly important,yes,,Weekly,Important,no,,Daily,Slightly important,,,Daily,Important,yes,,Weekly,Slightly important,,yes,Daily,Slightly important,,yes,Daily,Very important,yes,,Daily,Very important,yes,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Weekly,Important,,yes,Monthly,Slightly important,,yes,Monthly,Slightly important,,,Weekly,Slightly important,,yes,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Daily,Important,,,Never - Can't do in the language,Not important,,yes,Weekly,Not important,,,Weekly,Slightly important,,,Weekly,Slightly important,,,Weekly,Not important,,,"Work-related conversations with local officials and other partners it he most important use of langauge.  Frequently they can't speak English well, and it's not reasonable or practical to ask local staff to interpret all conversations.  Also, in public events / presentations, at least opening up in local langauge is always useful. ",I read papers and other texts sometimes using translation aids. ,,Executive,EAP,MEDAN,INDONESIA,01,SENIOR,JN,2.0,,2.0,,JN,3,3
170,NA00181,2017-08-28 22:07:00,Bengali,Monthly,Important,yes,yes,Monthly,Important,yes,yes,Monthly,Slightly important,yes,,Weekly,Slightly important,yes,,Weekly,Slightly important,yes,yes,Monthly,Important,yes,yes,Every few months,Important,yes,,Daily,Very important,yes,yes,Monthly,Slightly important,yes,yes,Daily,Important,yes,,Daily,Very important,yes,,Daily,Very important,yes,yes,Every few months,Important,yes,yes,Every few months,Slightly important,yes,yes,Monthly,Important,yes,,Never - not applicable,Not applicable,,,Every few months,Slightly important,yes,,Every few months,Slightly important,yes,,Weekly,Important,yes,,Weekly,Important,yes,,Never - not applicable,Not applicable,,,Daily,Very important,yes,yes,Daily,Very important,yes,yes,Never - not applicable,Not applicable,,,Every few months,Slightly important,yes,,Daily,Important,yes,yes,Daily,Very important,yes,,We are not allowed to be in public. Also most people speak English here. ,None,,Customer Service,SCA,DHAKA ,BANGLADESH,04,ENTRY,BN,3.0,,2.0,,BN,2,2
171,NA00182,2017-08-28 22:06:00,Tagalog,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Every few months,Not important,,,Never - not applicable,Not applicable,,,Daily,Very important,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Every few months,Not important,,,Weekly,Slightly important,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Every few months,Not important,yes,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Daily,Important,yes,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Weekly,Slightly important,yes,,Daily,Not important,yes,,Daily,Slightly important,,,Weekly,Slightly important,yes,,,,,Customer Service,EAP,MANILA,PHILIPPINES,05,ENTRY,TA,2.0,0.5,3.0,0.5,TA,2,2
